project_name,version,file_count,loc,comment_rate,avg_complexity,total_imports,avg_import_count
django,v1.0,553,54129,0.053,6.7486,2294,0.7034
django,v2.0,838,92355,0.068,14.8341,3579,0.7554
django,v3.0,831,96151,0.0682,15.3394,3701,0.7762
django,v4.1,863,117606,0.0654,16.3581,4068,0.81
django,v5.0,879,121685,0.0652,16.5825,4217,0.7986
fastapi,v0.2.0,21,2537,0.0019,8.0,129,0.4286
fastapi,v0.3.0,21,2555,0.0019,8.0952,129,0.4286
fastapi,v0.4.0,21,2561,0.0019,8.0952,129,0.4286
fastapi,v0.6.0,22,2573,0.0018,7.8182,131,0.4091
fastapi,v0.9.0,23,2607,0.0017,7.6087,134,0.3913
flask,v0.1,1,481,0.087,1.0,15,3.0
flask,v1.0,20,5556,0.0723,26.7,179,2.0
flask,v2.0.0,21,6028,0.0549,25.381,351,3.2857
flask,v2.2.0,22,6831,0.0541,25.5909,387,5.1818
flask,v3.0.0,24,6460,0.0513,22.4583,381,3.375
